echo 0000 | nc 10.212.175.197 8000
echo 2421 | nc 10.212.175.197 8000
echo 2422 | nc 10.212.175.197 8000
echo 2423 | nc 10.212.175.197 8000
echo 2424 | nc 10.212.175.197 8000
echo 2425 | nc 10.212.175.197 8000
echo 2426 | nc 10.212.175.197 8000
echo 2427 | nc 10.212.175.197 8000
echo 2428 | nc 10.212.175.197 8000
echo 2429 | nc 10.212.175.197 8000
echo 2430 | nc 10.212.175.197 8000
echo 2431 | nc 10.212.175.197 8000
echo 2432 | nc 10.212.175.197 8000
echo 2433 | nc 10.212.175.197 8000
echo 2434 | nc 10.212.175.197 8000
echo 2435 | nc 10.212.175.197 8000
echo 2436 | nc 10.212.175.197 8000
echo 2437 | nc 10.212.175.197 8000
echo 2438 | nc 10.212.175.197 8000
echo 2439 | nc 10.212.175.197 8000
echo 2440 | nc 10.212.175.197 8000
echo 2441 | nc 10.212.175.197 8000
echo 2442 | nc 10.212.175.197 8000
echo 2443 | nc 10.212.175.197 8000
echo 2444 | nc 10.212.175.197 8000
echo 2445 | nc 10.212.175.197 8000
echo 2446 | nc 10.212.175.197 8000
echo 2447 | nc 10.212.175.197 8000
echo 2448 | nc 10.212.175.197 8000
echo 2449 | nc 10.212.175.197 8000
echo 2450 | nc 10.212.175.197 8000
echo 2451 | nc 10.212.175.197 8000
echo 2452 | nc 10.212.175.197 8000
echo 2453 | nc 10.212.175.197 8000
echo 2454 | nc 10.212.175.197 8000
echo 2455 | nc 10.212.175.197 8000
echo 2456 | nc 10.212.175.197 8000
echo 2457 | nc 10.212.175.197 8000
echo 2458 | nc 10.212.175.197 8000
echo 2459 | nc 10.212.175.197 8000
echo 2460 | nc 10.212.175.197 8000
echo 2461 | nc 10.212.175.197 8000
echo 2462 | nc 10.212.175.197 8000
echo 2463 | nc 10.212.175.197 8000
echo 2464 | nc 10.212.175.197 8000
echo 2465 | nc 10.212.175.197 8000
echo 2466 | nc 10.212.175.197 8000
echo 2467 | nc 10.212.175.197 8000
echo 2468 | nc 10.212.175.197 8000
echo 2469 | nc 10.212.175.197 8000
echo 2470 | nc 10.212.175.197 8000
echo 2471 | nc 10.212.175.197 8000
echo 2472 | nc 10.212.175.197 8000
echo 2473 | nc 10.212.175.197 8000
echo 2474 | nc 10.212.175.197 8000
echo 2475 | nc 10.212.175.197 8000
echo 2476 | nc 10.212.175.197 8000
echo 2477 | nc 10.212.175.197 8000
echo 2478 | nc 10.212.175.197 8000
echo 2479 | nc 10.212.175.197 8000
echo 2480 | nc 10.212.175.197 8000
echo 2481 | nc 10.212.175.197 8000
echo 2482 | nc 10.212.175.197 8000
echo 2483 | nc 10.212.175.197 8000
echo 2484 | nc 10.212.175.197 8000
echo 2485 | nc 10.212.175.197 8000
echo 2486 | nc 10.212.175.197 8000
echo 2487 | nc 10.212.175.197 8000
echo 2488 | nc 10.212.175.197 8000
echo 2489 | nc 10.212.175.197 8000
echo 2490 | nc 10.212.175.197 8000
echo 2491 | nc 10.212.175.197 8000
echo 2492 | nc 10.212.175.197 8000
echo 2493 | nc 10.212.175.197 8000
echo 2494 | nc 10.212.175.197 8000
echo 2495 | nc 10.212.175.197 8000
echo 2496 | nc 10.212.175.197 8000
echo 2497 | nc 10.212.175.197 8000
echo 2498 | nc 10.212.175.197 8000
echo 2499 | nc 10.212.175.197 8000
echo 2500 | nc 10.212.175.197 8000
echo 2501 | nc 10.212.175.197 8000
echo 2502 | nc 10.212.175.197 8000
echo 2503 | nc 10.212.175.197 8000
echo 2504 | nc 10.212.175.197 8000
echo 2505 | nc 10.212.175.197 8000
echo 2506 | nc 10.212.175.197 8000
echo 2507 | nc 10.212.175.197 8000
echo 2508 | nc 10.212.175.197 8000
echo 2509 | nc 10.212.175.197 8000
echo 2510 | nc 10.212.175.197 8000
echo 2511 | nc 10.212.175.197 8000
echo 2512 | nc 10.212.175.197 8000
echo 2513 | nc 10.212.175.197 8000
echo 2514 | nc 10.212.175.197 8000
echo 2515 | nc 10.212.175.197 8000
echo 2516 | nc 10.212.175.197 8000
echo 2517 | nc 10.212.175.197 8000
echo 2518 | nc 10.212.175.197 8000
echo 2519 | nc 10.212.175.197 8000
echo 2520 | nc 10.212.175.197 8000
echo 2521 | nc 10.212.175.197 8000
echo 2522 | nc 10.212.175.197 8000
echo 2523 | nc 10.212.175.197 8000
echo 2524 | nc 10.212.175.197 8000
echo 2525 | nc 10.212.175.197 8000
echo 2526 | nc 10.212.175.197 8000
echo 2527 | nc 10.212.175.197 8000
echo 2528 | nc 10.212.175.197 8000
echo 2529 | nc 10.212.175.197 8000
echo 2530 | nc 10.212.175.197 8000
echo 2531 | nc 10.212.175.197 8000
echo 2532 | nc 10.212.175.197 8000
echo 2533 | nc 10.212.175.197 8000
echo 2534 | nc 10.212.175.197 8000
echo 2535 | nc 10.212.175.197 8000
echo 2536 | nc 10.212.175.197 8000
echo 2537 | nc 10.212.175.197 8000
echo 2538 | nc 10.212.175.197 8000
echo 2539 | nc 10.212.175.197 8000
echo 2540 | nc 10.212.175.197 8000
echo 2541 | nc 10.212.175.197 8000
echo 2542 | nc 10.212.175.197 8000
echo 2543 | nc 10.212.175.197 8000
echo 2544 | nc 10.212.175.197 8000
echo 2545 | nc 10.212.175.197 8000
echo 2546 | nc 10.212.175.197 8000
echo 2547 | nc 10.212.175.197 8000
echo 2548 | nc 10.212.175.197 8000
echo 2549 | nc 10.212.175.197 8000
echo 2550 | nc 10.212.175.197 8000
echo 2551 | nc 10.212.175.197 8000
echo 2552 | nc 10.212.175.197 8000
echo 2553 | nc 10.212.175.197 8000
echo 2554 | nc 10.212.175.197 8000
echo 2555 | nc 10.212.175.197 8000
echo 2556 | nc 10.212.175.197 8000
echo 2557 | nc 10.212.175.197 8000
echo 2558 | nc 10.212.175.197 8000
echo 2559 | nc 10.212.175.197 8000
echo 2560 | nc 10.212.175.197 8000
echo 2561 | nc 10.212.175.197 8000
echo 2562 | nc 10.212.175.197 8000
echo 2563 | nc 10.212.175.197 8000
echo 2564 | nc 10.212.175.197 8000
echo 2565 | nc 10.212.175.197 8000
echo 2566 | nc 10.212.175.197 8000
echo 2567 | nc 10.212.175.197 8000
echo 2568 | nc 10.212.175.197 8000
echo 2569 | nc 10.212.175.197 8000
echo 2570 | nc 10.212.175.197 8000
echo 2571 | nc 10.212.175.197 8000
echo 2572 | nc 10.212.175.197 8000
echo 2573 | nc 10.212.175.197 8000
echo 2574 | nc 10.212.175.197 8000
echo 2575 | nc 10.212.175.197 8000
echo 2576 | nc 10.212.175.197 8000
echo 2577 | nc 10.212.175.197 8000
echo 2578 | nc 10.212.175.197 8000
echo 2579 | nc 10.212.175.197 8000
echo 2580 | nc 10.212.175.197 8000
echo 2581 | nc 10.212.175.197 8000
echo 2582 | nc 10.212.175.197 8000
echo 2583 | nc 10.212.175.197 8000
echo 2584 | nc 10.212.175.197 8000
echo 2585 | nc 10.212.175.197 8000
echo 2586 | nc 10.212.175.197 8000
echo 2587 | nc 10.212.175.197 8000
echo 2588 | nc 10.212.175.197 8000
echo 2589 | nc 10.212.175.197 8000
echo 2590 | nc 10.212.175.197 8000
echo 2591 | nc 10.212.175.197 8000
echo 2592 | nc 10.212.175.197 8000
echo 2593 | nc 10.212.175.197 8000
echo 2594 | nc 10.212.175.197 8000
echo 2595 | nc 10.212.175.197 8000
echo 2596 | nc 10.212.175.197 8000
echo 2597 | nc 10.212.175.197 8000
echo 2598 | nc 10.212.175.197 8000
echo 2599 | nc 10.212.175.197 8000
echo 2600 | nc 10.212.175.197 8000
echo 2601 | nc 10.212.175.197 8000
echo 2602 | nc 10.212.175.197 8000
echo 2603 | nc 10.212.175.197 8000
echo 2604 | nc 10.212.175.197 8000
echo 2605 | nc 10.212.175.197 8000
echo 2606 | nc 10.212.175.197 8000
echo 2607 | nc 10.212.175.197 8000
echo 2608 | nc 10.212.175.197 8000
echo 2609 | nc 10.212.175.197 8000
echo 2610 | nc 10.212.175.197 8000
echo 2611 | nc 10.212.175.197 8000
echo 2612 | nc 10.212.175.197 8000
echo 2613 | nc 10.212.175.197 8000
echo 2614 | nc 10.212.175.197 8000
echo 2615 | nc 10.212.175.197 8000
echo 2616 | nc 10.212.175.197 8000
echo 2617 | nc 10.212.175.197 8000
echo 2618 | nc 10.212.175.197 8000
echo 2619 | nc 10.212.175.197 8000
echo 2620 | nc 10.212.175.197 8000
echo 2621 | nc 10.212.175.197 8000
echo 2622 | nc 10.212.175.197 8000
echo 2623 | nc 10.212.175.197 8000
echo 2624 | nc 10.212.175.197 8000
echo 2625 | nc 10.212.175.197 8000
echo 2626 | nc 10.212.175.197 8000
echo 2627 | nc 10.212.175.197 8000
echo 2628 | nc 10.212.175.197 8000
echo 2629 | nc 10.212.175.197 8000
echo 2630 | nc 10.212.175.197 8000
echo 2631 | nc 10.212.175.197 8000
echo 2632 | nc 10.212.175.197 8000
echo 2633 | nc 10.212.175.197 8000
echo 2634 | nc 10.212.175.197 8000
echo 2635 | nc 10.212.175.197 8000
echo 2636 | nc 10.212.175.197 8000
echo 2637 | nc 10.212.175.197 8000
echo 2638 | nc 10.212.175.197 8000
echo 2639 | nc 10.212.175.197 8000
echo 2640 | nc 10.212.175.197 8000
echo 2641 | nc 10.212.175.197 8000
echo 2642 | nc 10.212.175.197 8000
echo 2643 | nc 10.212.175.197 8000
echo 2644 | nc 10.212.175.197 8000
echo 2645 | nc 10.212.175.197 8000
echo 2646 | nc 10.212.175.197 8000
echo 2647 | nc 10.212.175.197 8000
echo 2648 | nc 10.212.175.197 8000
echo 2649 | nc 10.212.175.197 8000
echo 2650 | nc 10.212.175.197 8000
echo 2651 | nc 10.212.175.197 8000
echo 2652 | nc 10.212.175.197 8000
echo 2653 | nc 10.212.175.197 8000
echo 2654 | nc 10.212.175.197 8000
echo 2655 | nc 10.212.175.197 8000
echo 2656 | nc 10.212.175.197 8000
echo 2657 | nc 10.212.175.197 8000
echo 2658 | nc 10.212.175.197 8000
echo 2659 | nc 10.212.175.197 8000
echo 2660 | nc 10.212.175.197 8000
echo 2661 | nc 10.212.175.197 8000
echo 2662 | nc 10.212.175.197 8000
echo 2663 | nc 10.212.175.197 8000
echo 2664 | nc 10.212.175.197 8000
echo 2665 | nc 10.212.175.197 8000
echo 2666 | nc 10.212.175.197 8000
echo 2667 | nc 10.212.175.197 8000
echo 2668 | nc 10.212.175.197 8000
echo 2669 | nc 10.212.175.197 8000
echo 2670 | nc 10.212.175.197 8000
echo 2671 | nc 10.212.175.197 8000
echo 2672 | nc 10.212.175.197 8000
echo 2673 | nc 10.212.175.197 8000
echo 2674 | nc 10.212.175.197 8000
echo 2675 | nc 10.212.175.197 8000
echo 2676 | nc 10.212.175.197 8000
echo 2677 | nc 10.212.175.197 8000
echo 2678 | nc 10.212.175.197 8000
echo 2679 | nc 10.212.175.197 8000
echo 2680 | nc 10.212.175.197 8000
echo 2681 | nc 10.212.175.197 8000
echo 2682 | nc 10.212.175.197 8000
echo 2683 | nc 10.212.175.197 8000
echo 2684 | nc 10.212.175.197 8000
echo 2685 | nc 10.212.175.197 8000
echo 2686 | nc 10.212.175.197 8000
echo 2687 | nc 10.212.175.197 8000
echo 2688 | nc 10.212.175.197 8000
echo 2689 | nc 10.212.175.197 8000
echo 2690 | nc 10.212.175.197 8000
echo 2691 | nc 10.212.175.197 8000
echo 2692 | nc 10.212.175.197 8000
echo 2693 | nc 10.212.175.197 8000
echo 2694 | nc 10.212.175.197 8000
echo 2695 | nc 10.212.175.197 8000
echo 2696 | nc 10.212.175.197 8000
echo 2697 | nc 10.212.175.197 8000
echo 2698 | nc 10.212.175.197 8000
echo 2699 | nc 10.212.175.197 8000
echo 2700 | nc 10.212.175.197 8000
echo 2701 | nc 10.212.175.197 8000
echo 2702 | nc 10.212.175.197 8000
echo 2703 | nc 10.212.175.197 8000
echo 2704 | nc 10.212.175.197 8000
echo 2705 | nc 10.212.175.197 8000
echo 2706 | nc 10.212.175.197 8000
echo 2707 | nc 10.212.175.197 8000
echo 2708 | nc 10.212.175.197 8000
echo 2709 | nc 10.212.175.197 8000
echo 2710 | nc 10.212.175.197 8000
echo 2711 | nc 10.212.175.197 8000
echo 2712 | nc 10.212.175.197 8000
echo 2713 | nc 10.212.175.197 8000
echo 2714 | nc 10.212.175.197 8000
echo 2715 | nc 10.212.175.197 8000
echo 2716 | nc 10.212.175.197 8000
echo 2717 | nc 10.212.175.197 8000
echo 2718 | nc 10.212.175.197 8000
echo 2719 | nc 10.212.175.197 8000
echo 2720 | nc 10.212.175.197 8000
echo 2721 | nc 10.212.175.197 8000
echo 2722 | nc 10.212.175.197 8000
echo 2723 | nc 10.212.175.197 8000
echo 2724 | nc 10.212.175.197 8000
echo 2725 | nc 10.212.175.197 8000
echo 2726 | nc 10.212.175.197 8000
echo 2727 | nc 10.212.175.197 8000
echo 2728 | nc 10.212.175.197 8000
echo 2729 | nc 10.212.175.197 8000
echo 2730 | nc 10.212.175.197 8000
echo 2731 | nc 10.212.175.197 8000
echo 2732 | nc 10.212.175.197 8000
echo 2733 | nc 10.212.175.197 8000
echo 2734 | nc 10.212.175.197 8000
echo 2735 | nc 10.212.175.197 8000
echo 2736 | nc 10.212.175.197 8000
echo 2737 | nc 10.212.175.197 8000
echo 2738 | nc 10.212.175.197 8000
echo 2739 | nc 10.212.175.197 8000
echo 2740 | nc 10.212.175.197 8000
echo 2741 | nc 10.212.175.197 8000
echo 2742 | nc 10.212.175.197 8000
echo 2743 | nc 10.212.175.197 8000
echo 2744 | nc 10.212.175.197 8000
echo 2745 | nc 10.212.175.197 8000
echo 2746 | nc 10.212.175.197 8000
echo 2747 | nc 10.212.175.197 8000
echo 2748 | nc 10.212.175.197 8000
echo 2749 | nc 10.212.175.197 8000
echo 2750 | nc 10.212.175.197 8000
echo 2751 | nc 10.212.175.197 8000
echo 2752 | nc 10.212.175.197 8000
echo 2753 | nc 10.212.175.197 8000
echo 2754 | nc 10.212.175.197 8000
echo 2755 | nc 10.212.175.197 8000
echo 2756 | nc 10.212.175.197 8000
echo 2757 | nc 10.212.175.197 8000
echo 2758 | nc 10.212.175.197 8000
echo 2759 | nc 10.212.175.197 8000
echo 2760 | nc 10.212.175.197 8000
echo 2761 | nc 10.212.175.197 8000
echo 2762 | nc 10.212.175.197 8000
echo 2763 | nc 10.212.175.197 8000
echo 2764 | nc 10.212.175.197 8000
echo 2765 | nc 10.212.175.197 8000
echo 2766 | nc 10.212.175.197 8000
echo 2767 | nc 10.212.175.197 8000
echo 2768 | nc 10.212.175.197 8000
echo 2769 | nc 10.212.175.197 8000
echo 2770 | nc 10.212.175.197 8000
echo 2771 | nc 10.212.175.197 8000
echo 2772 | nc 10.212.175.197 8000
echo 2773 | nc 10.212.175.197 8000
echo 2774 | nc 10.212.175.197 8000
echo 2775 | nc 10.212.175.197 8000
echo 2776 | nc 10.212.175.197 8000
echo 2777 | nc 10.212.175.197 8000
echo 2778 | nc 10.212.175.197 8000
echo 2779 | nc 10.212.175.197 8000
echo 2780 | nc 10.212.175.197 8000
echo 2781 | nc 10.212.175.197 8000
echo 2782 | nc 10.212.175.197 8000
echo 2783 | nc 10.212.175.197 8000
echo 2784 | nc 10.212.175.197 8000
echo 2785 | nc 10.212.175.197 8000
echo 2786 | nc 10.212.175.197 8000
echo 2787 | nc 10.212.175.197 8000
echo 2788 | nc 10.212.175.197 8000
echo 2789 | nc 10.212.175.197 8000
echo 2790 | nc 10.212.175.197 8000
echo 2791 | nc 10.212.175.197 8000
echo 2792 | nc 10.212.175.197 8000
echo 2793 | nc 10.212.175.197 8000
echo 2794 | nc 10.212.175.197 8000
echo 2795 | nc 10.212.175.197 8000
echo 2796 | nc 10.212.175.197 8000
echo 2797 | nc 10.212.175.197 8000
echo 2798 | nc 10.212.175.197 8000
echo 2799 | nc 10.212.175.197 8000
echo 2800 | nc 10.212.175.197 8000
echo 2801 | nc 10.212.175.197 8000
echo 2802 | nc 10.212.175.197 8000
echo 2803 | nc 10.212.175.197 8000
echo 2804 | nc 10.212.175.197 8000
echo 2805 | nc 10.212.175.197 8000
echo 2806 | nc 10.212.175.197 8000
echo 2807 | nc 10.212.175.197 8000
echo 2808 | nc 10.212.175.197 8000
echo 2809 | nc 10.212.175.197 8000
echo 2810 | nc 10.212.175.197 8000
echo 2811 | nc 10.212.175.197 8000
echo 2812 | nc 10.212.175.197 8000
echo 2813 | nc 10.212.175.197 8000
echo 2814 | nc 10.212.175.197 8000
echo 2815 | nc 10.212.175.197 8000
echo 2816 | nc 10.212.175.197 8000
echo 2817 | nc 10.212.175.197 8000
echo 2818 | nc 10.212.175.197 8000
echo 2819 | nc 10.212.175.197 8000
echo 2820 | nc 10.212.175.197 8000
echo 2821 | nc 10.212.175.197 8000
echo 2822 | nc 10.212.175.197 8000
echo 2823 | nc 10.212.175.197 8000
echo 2824 | nc 10.212.175.197 8000
echo 2825 | nc 10.212.175.197 8000
echo 2826 | nc 10.212.175.197 8000
echo 2827 | nc 10.212.175.197 8000
echo 2828 | nc 10.212.175.197 8000
echo 2829 | nc 10.212.175.197 8000
echo 2830 | nc 10.212.175.197 8000
echo 2831 | nc 10.212.175.197 8000
echo 2832 | nc 10.212.175.197 8000
echo 2833 | nc 10.212.175.197 8000
echo 2834 | nc 10.212.175.197 8000
echo 2835 | nc 10.212.175.197 8000
echo 2836 | nc 10.212.175.197 8000
echo 2837 | nc 10.212.175.197 8000
echo 2838 | nc 10.212.175.197 8000
echo 2839 | nc 10.212.175.197 8000
echo 2840 | nc 10.212.175.197 8000
echo 2841 | nc 10.212.175.197 8000
echo 2842 | nc 10.212.175.197 8000
echo 2843 | nc 10.212.175.197 8000
echo 2844 | nc 10.212.175.197 8000
echo 2845 | nc 10.212.175.197 8000
echo 2846 | nc 10.212.175.197 8000
echo 2847 | nc 10.212.175.197 8000
echo 2848 | nc 10.212.175.197 8000
echo 2849 | nc 10.212.175.197 8000
echo 2850 | nc 10.212.175.197 8000
echo 2851 | nc 10.212.175.197 8000
echo 2852 | nc 10.212.175.197 8000
echo 2853 | nc 10.212.175.197 8000
echo 2854 | nc 10.212.175.197 8000
echo 2855 | nc 10.212.175.197 8000
echo 2856 | nc 10.212.175.197 8000
echo 2857 | nc 10.212.175.197 8000
echo 2858 | nc 10.212.175.197 8000
echo 2859 | nc 10.212.175.197 8000
echo 2860 | nc 10.212.175.197 8000
echo 2861 | nc 10.212.175.197 8000
echo 2862 | nc 10.212.175.197 8000
echo 2863 | nc 10.212.175.197 8000
echo 2864 | nc 10.212.175.197 8000
echo 2865 | nc 10.212.175.197 8000
echo 2866 | nc 10.212.175.197 8000
echo 2867 | nc 10.212.175.197 8000
echo 2868 | nc 10.212.175.197 8000
echo 2869 | nc 10.212.175.197 8000
echo 2870 | nc 10.212.175.197 8000
echo 2871 | nc 10.212.175.197 8000
echo 2872 | nc 10.212.175.197 8000
echo 2873 | nc 10.212.175.197 8000
echo 2874 | nc 10.212.175.197 8000
echo 2875 | nc 10.212.175.197 8000
echo 2876 | nc 10.212.175.197 8000
echo 2877 | nc 10.212.175.197 8000
echo 2878 | nc 10.212.175.197 8000
echo 2879 | nc 10.212.175.197 8000
echo 2880 | nc 10.212.175.197 8000
echo 2881 | nc 10.212.175.197 8000
echo 2882 | nc 10.212.175.197 8000
echo 2883 | nc 10.212.175.197 8000
echo 2884 | nc 10.212.175.197 8000
echo 2885 | nc 10.212.175.197 8000
echo 2886 | nc 10.212.175.197 8000
echo 2887 | nc 10.212.175.197 8000
echo 2888 | nc 10.212.175.197 8000
echo 2889 | nc 10.212.175.197 8000
echo 2890 | nc 10.212.175.197 8000
echo 2891 | nc 10.212.175.197 8000
echo 2892 | nc 10.212.175.197 8000
echo 2893 | nc 10.212.175.197 8000
echo 2894 | nc 10.212.175.197 8000
echo 2895 | nc 10.212.175.197 8000
echo 2896 | nc 10.212.175.197 8000
echo 2897 | nc 10.212.175.197 8000
echo 2898 | nc 10.212.175.197 8000
echo 2899 | nc 10.212.175.197 8000
echo 2900 | nc 10.212.175.197 8000
echo 2901 | nc 10.212.175.197 8000
echo 2902 | nc 10.212.175.197 8000
echo 2903 | nc 10.212.175.197 8000
echo 2904 | nc 10.212.175.197 8000
echo 2905 | nc 10.212.175.197 8000
echo 2906 | nc 10.212.175.197 8000
echo 2907 | nc 10.212.175.197 8000
echo 2908 | nc 10.212.175.197 8000
echo 2909 | nc 10.212.175.197 8000
echo 2910 | nc 10.212.175.197 8000
echo 2911 | nc 10.212.175.197 8000
echo 2912 | nc 10.212.175.197 8000
echo 2913 | nc 10.212.175.197 8000
echo 2914 | nc 10.212.175.197 8000
echo 2915 | nc 10.212.175.197 8000
echo 2916 | nc 10.212.175.197 8000
echo 2917 | nc 10.212.175.197 8000
echo 2918 | nc 10.212.175.197 8000
echo 2919 | nc 10.212.175.197 8000
echo 2920 | nc 10.212.175.197 8000
echo 2921 | nc 10.212.175.197 8000
echo 2922 | nc 10.212.175.197 8000
echo 2923 | nc 10.212.175.197 8000
echo 2924 | nc 10.212.175.197 8000
echo 2925 | nc 10.212.175.197 8000
echo 2926 | nc 10.212.175.197 8000
echo 2927 | nc 10.212.175.197 8000
echo 2928 | nc 10.212.175.197 8000
echo 2929 | nc 10.212.175.197 8000
echo 2930 | nc 10.212.175.197 8000
echo 2931 | nc 10.212.175.197 8000
echo 2932 | nc 10.212.175.197 8000
echo 2933 | nc 10.212.175.197 8000
echo 2934 | nc 10.212.175.197 8000
echo 2935 | nc 10.212.175.197 8000
echo 2936 | nc 10.212.175.197 8000
echo 2937 | nc 10.212.175.197 8000
echo 2938 | nc 10.212.175.197 8000
echo 2939 | nc 10.212.175.197 8000
echo 2940 | nc 10.212.175.197 8000
echo 2941 | nc 10.212.175.197 8000
echo 2942 | nc 10.212.175.197 8000
echo 2943 | nc 10.212.175.197 8000
echo 2944 | nc 10.212.175.197 8000
echo 2945 | nc 10.212.175.197 8000
echo 2946 | nc 10.212.175.197 8000
echo 2947 | nc 10.212.175.197 8000
echo 2948 | nc 10.212.175.197 8000
echo 2949 | nc 10.212.175.197 8000
echo 2950 | nc 10.212.175.197 8000
echo 2951 | nc 10.212.175.197 8000
echo 2952 | nc 10.212.175.197 8000
echo 2953 | nc 10.212.175.197 8000
echo 2954 | nc 10.212.175.197 8000
echo 2955 | nc 10.212.175.197 8000
echo 2956 | nc 10.212.175.197 8000
echo 2957 | nc 10.212.175.197 8000
echo 2958 | nc 10.212.175.197 8000
echo 2959 | nc 10.212.175.197 8000
echo 2960 | nc 10.212.175.197 8000
echo 2961 | nc 10.212.175.197 8000
echo 2962 | nc 10.212.175.197 8000
echo 2963 | nc 10.212.175.197 8000
echo 2964 | nc 10.212.175.197 8000
echo 2965 | nc 10.212.175.197 8000
echo 2966 | nc 10.212.175.197 8000
echo 2967 | nc 10.212.175.197 8000
echo 2968 | nc 10.212.175.197 8000
echo 2969 | nc 10.212.175.197 8000
echo 2970 | nc 10.212.175.197 8000
echo 2971 | nc 10.212.175.197 8000
echo 2972 | nc 10.212.175.197 8000
echo 2973 | nc 10.212.175.197 8000
echo 2974 | nc 10.212.175.197 8000
echo 2975 | nc 10.212.175.197 8000
echo 2976 | nc 10.212.175.197 8000
echo 2977 | nc 10.212.175.197 8000
echo 2978 | nc 10.212.175.197 8000
echo 2979 | nc 10.212.175.197 8000
echo 2980 | nc 10.212.175.197 8000
echo 2981 | nc 10.212.175.197 8000
echo 2982 | nc 10.212.175.197 8000
echo 2983 | nc 10.212.175.197 8000
echo 2984 | nc 10.212.175.197 8000
echo 2985 | nc 10.212.175.197 8000
echo 2986 | nc 10.212.175.197 8000
echo 2987 | nc 10.212.175.197 8000
echo 2988 | nc 10.212.175.197 8000
echo 2989 | nc 10.212.175.197 8000
echo 2990 | nc 10.212.175.197 8000
echo 2991 | nc 10.212.175.197 8000
echo 2992 | nc 10.212.175.197 8000
echo 2993 | nc 10.212.175.197 8000
echo 2994 | nc 10.212.175.197 8000
echo 2995 | nc 10.212.175.197 8000
echo 2996 | nc 10.212.175.197 8000
echo 2997 | nc 10.212.175.197 8000
echo 2998 | nc 10.212.175.197 8000
echo 2999 | nc 10.212.175.197 8000
echo 3000 | nc 10.212.175.197 8000
echo 3001 | nc 10.212.175.197 8000
echo 3002 | nc 10.212.175.197 8000
echo 3003 | nc 10.212.175.197 8000
echo 3004 | nc 10.212.175.197 8000
echo 3005 | nc 10.212.175.197 8000
echo 3006 | nc 10.212.175.197 8000
echo 3007 | nc 10.212.175.197 8000
echo 3008 | nc 10.212.175.197 8000
echo 3009 | nc 10.212.175.197 8000
echo 3010 | nc 10.212.175.197 8000
echo 3011 | nc 10.212.175.197 8000
echo 3012 | nc 10.212.175.197 8000
echo 3013 | nc 10.212.175.197 8000
echo 3014 | nc 10.212.175.197 8000
echo 3015 | nc 10.212.175.197 8000
echo 3016 | nc 10.212.175.197 8000
echo 3017 | nc 10.212.175.197 8000
echo 3018 | nc 10.212.175.197 8000
echo 3019 | nc 10.212.175.197 8000
echo 3020 | nc 10.212.175.197 8000
echo 3021 | nc 10.212.175.197 8000
echo 3022 | nc 10.212.175.197 8000
echo 3023 | nc 10.212.175.197 8000
echo 3024 | nc 10.212.175.197 8000
echo 3025 | nc 10.212.175.197 8000
echo 3026 | nc 10.212.175.197 8000
echo 3027 | nc 10.212.175.197 8000
echo 3028 | nc 10.212.175.197 8000
echo 3029 | nc 10.212.175.197 8000
echo 3030 | nc 10.212.175.197 8000
echo 3031 | nc 10.212.175.197 8000
echo 3032 | nc 10.212.175.197 8000
echo 3033 | nc 10.212.175.197 8000
echo 3034 | nc 10.212.175.197 8000
echo 3035 | nc 10.212.175.197 8000
echo 3036 | nc 10.212.175.197 8000
echo 3037 | nc 10.212.175.197 8000
echo 3038 | nc 10.212.175.197 8000
echo 3039 | nc 10.212.175.197 8000
echo 3040 | nc 10.212.175.197 8000
echo 3041 | nc 10.212.175.197 8000
echo 3042 | nc 10.212.175.197 8000
echo 3043 | nc 10.212.175.197 8000
echo 3044 | nc 10.212.175.197 8000
echo 3045 | nc 10.212.175.197 8000
echo 3046 | nc 10.212.175.197 8000
echo 3047 | nc 10.212.175.197 8000
echo 3048 | nc 10.212.175.197 8000
echo 3049 | nc 10.212.175.197 8000
echo 3050 | nc 10.212.175.197 8000
echo 3051 | nc 10.212.175.197 8000
echo 3052 | nc 10.212.175.197 8000
echo 3053 | nc 10.212.175.197 8000
echo 3054 | nc 10.212.175.197 8000
echo 3055 | nc 10.212.175.197 8000
echo 3056 | nc 10.212.175.197 8000
echo 3057 | nc 10.212.175.197 8000
echo 3058 | nc 10.212.175.197 8000
echo 3059 | nc 10.212.175.197 8000
echo 3060 | nc 10.212.175.197 8000
echo 3061 | nc 10.212.175.197 8000
echo 3062 | nc 10.212.175.197 8000
echo 3063 | nc 10.212.175.197 8000
echo 3064 | nc 10.212.175.197 8000
echo 3065 | nc 10.212.175.197 8000
echo 3066 | nc 10.212.175.197 8000
echo 3067 | nc 10.212.175.197 8000
echo 3068 | nc 10.212.175.197 8000
echo 3069 | nc 10.212.175.197 8000
echo 3070 | nc 10.212.175.197 8000
echo 3071 | nc 10.212.175.197 8000
echo 3072 | nc 10.212.175.197 8000
echo 3073 | nc 10.212.175.197 8000
echo 3074 | nc 10.212.175.197 8000
echo 3075 | nc 10.212.175.197 8000
echo 3076 | nc 10.212.175.197 8000
echo 3077 | nc 10.212.175.197 8000
echo 3078 | nc 10.212.175.197 8000
echo 3079 | nc 10.212.175.197 8000
echo 3080 | nc 10.212.175.197 8000
echo 3081 | nc 10.212.175.197 8000
echo 3082 | nc 10.212.175.197 8000
echo 3083 | nc 10.212.175.197 8000
echo 3084 | nc 10.212.175.197 8000
echo 3085 | nc 10.212.175.197 8000
